Mom,ID,f.ind,Mi,RGR23,RGR29,RGR11,RGR17,RGR35,expt
30Jul_6,5,30Jul_6_5,11.74,0.020268343,0.023729919,0.005097606,0.00952171,0.019945431,July 30 2023
30Jul_6,6,30Jul_6_6,10.09,0.028712116,0.005451368,0.002996869,0.013867911,0.019191279,July 30 2023
30Jul_6,7,30Jul_6_7,13.76,0.031134115,0.026263623,0.002466784,0.008552997,0.012675311,July 30 2023
30Jul_6,8,30Jul_6_8,12.54,0.01214723,0.016031245,0.002619495,0.013668876,0.006326617,July 30 2023
30Jul_6,9,30Jul_6_9,9.42,0.005914621,0.025981762,0.005622105,0.002601914,0.020762779,July 30 2023
30Jul_6,10,30Jul_6_10,10.38,0.022087033,0.018410965,0.003071783,0.014773059,0.015255401,July 30 2023
30Jul_6,11,30Jul_6_11,10.63,0.017968821,0.014078628,0.00114352,-0.004984843,-0.011132202,July 30 2023
30Jul_9,1,30Jul_9_1,6.82,0.032037473,0.021627759,0.003616917,0.011758543,0.019072805,July 30 2023
30Jul_9,2,30Jul_9_2,13.5,0.014233534,0.023285806,0.005662842,0.01326832,0.007566491,July 30 2023
30Jul_9,3,30Jul_9_3,8.99,0.046200346,0.024471315,0.007381491,-0.000739702,0.024282485,July 30 2023
30Jul_9,4,30Jul_9_4,15.94,0.049649964,0.008044785,0.002928941,0.010128948,0.016677346,July 30 2023
30Jul_9,5,30Jul_9_5,19.34,0.008435844,0.036715931,0.003456869,0.010166663,0.006966461,July 30 2023
30Jul_9,6,30Jul_9_6,18.43,0.021704718,0.014609305,-0.00157679,0.021336181,0.004960649,July 30 2023
30Jul_9,7,30Jul_9_7,6.76,0.041413939,0.027121753,-0.001403544,0.007559535,0.030220731,July 30 2023
