"","Species","Population","Study.Site","Mom","ID","f.ind","Mi","RGR23","RGR29","RGR11","RGR17","RGR35","expt","Pupated","Time.to.Pupation","Pupa.wt","Eclosed","Time.to.Eclosion","Sex","Butt..Wt","Fecundity","period","uid"
"64","Pieris_rapae","Seattle_WA","Study.Site",23,8,"23_8_june",44.27,0.0225991042493503,0.0300490519780216,0.00606879655452001,0.0103564357672307,0.0258691063820617,"june",1,11,184.85,1,20,"F",78.95,NA,"recent","23_8_june"
"65","Pieris_rapae","Seattle_WA","Study.Site",23,9,"23_9_june",39.38,0.0258913220772335,0.0246875853545711,0.00436702059557142,-5.0743141009189e-05,0.00904092697856537,"june",1,10,176.14,1,19,"M",73.49,NA,"recent","23_9_june"
"66","Pieris_rapae","Seattle_WA","Study.Site",23,10,"23_10_june",42.89,0.0277082778825829,0.0280585657954536,0.00870454864530057,0.0069323011630972,0.0260792812159318,"june",1,11,208.36,1,20,"M",109.14,NA,"recent","23_10_june"
"67","Pieris_rapae","Seattle_WA","Study.Site",23,11,"23_11_june",42.1,0.0253914610356879,0.0241904008481173,0.00444034586406888,0.010045858003321,0.0258180499304945,"june",1,11,176.19,1,19,"F",98.27,NA,"recent","23_11_june"
"68","Pieris_rapae","Seattle_WA","Study.Site",24,1,"24_1_june",41.67,0.0276369157937234,0.00775382399861574,0.00930664617915776,-4.79568600103418e-05,-0.00696802290368551,"june",1,9,173.96,1,19,"M",64.64,NA,"recent","24_1_june"
"69","Pieris_rapae","Seattle_WA","Study.Site",24,2,"24_2_june",41.73,0.0296034039436217,0.0267675202317971,0.00476021441147829,-4.78879646925285e-05,0.014361486344613,"june",1,10,176.36,1,19,"M",73.61,NA,"recent","24_2_june"
"70","Pieris_rapae","Seattle_WA","Study.Site",24,3,"24_3_june",53.98,0.028063133430302,0.0301120086273493,0.00283591319752271,0.00787242935232379,0.0285964208222872,"june",1,10,180.75,1,19,"F",92.26,NA,"recent","24_3_june"
"71","Pieris_rapae","Seattle_WA","Study.Site",24,4,"24_4_june",47.33,0.0275913816937839,0.0377052131853866,0.00606047857526352,-8.43899506819693e-05,-0.00800053703223551,"june",1,10,162.45,1,19,"F",71.54,NA,"recent","24_4_june"
"72","Pieris_rapae","Seattle_WA","Study.Site",23,12,"23_12_june",NA,0.027456170620759,0.0325673552819428,0.00608531360144453,NA,NA,"june",0,NA,NA,0,NA,NA,NA,NA,"recent","23_12_june"
"73","Pieris_rapae","Seattle_WA","Study.Site",23,13,"23_13_june",35.75,0.0196167552775926,0.0266388523120943,0.0039831085090672,0.0054890886459469,0.0331240201866725,"june",1,11,185.85,1,20,"F",82.99,NA,"recent","23_13_june"
"74","Pieris_rapae","Seattle_WA","Study.Site",18,9,"18_9_june",50.55,0.0324918756260422,0.028984863642323,0.00434744293308053,0.0121381627822641,0.0217187322304109,"june",1,11,213.45,1,20,"M",92.23,NA,"recent","18_9_june"
"75","Pieris_rapae","Seattle_WA","Study.Site",18,10,"18_10_june",52.76,0.0293417007771856,0.0308413063092076,0.00381072173484094,0.00784393578485075,0.0366717799846117,"june",1,10,204.73,1,19,"F",103.37,NA,"recent","18_10_june"
"76","Pieris_rapae","Seattle_WA","Study.Site",18,11,"18_11_june",46.44,0.039865823843463,0.0325935254473337,0.00152019206335069,0.0101611307652835,0.0309413945254192,"june",1,10,189.11,1,19,"F",89.59,NA,"recent","18_11_june"
"77","Pieris_rapae","Seattle_WA","Study.Site",19,5,"19_5_june",41.06,0.0255807977048037,0.0234888097527578,0.0057032742976749,0.0161803340021414,4.36015295577317e-05,"june",1,11,151.15,1,20,"F",71.07,NA,"recent","19_5_june"
"78","Pieris_rapae","Seattle_WA","Study.Site",19,6,"19_6_june",40.84,0.0229172356191966,0.0360169317951353,0.00626937667495073,0.00614511751747818,0.0196634917048096,"june",0,NA,NA,0,NA,NA,NA,NA,"recent","19_6_june"
"79","Pieris_rapae","Seattle_WA","Study.Site",22,3,"22_3_june",37.85,0.0238285679777362,0.0230048692213765,0.00701357244185219,0.00533727413413445,0.034125728504256,"june",1,10,185.8,1,20,"M",78.01,NA,"recent","22_3_june"
